Stock_name,Desired_page
d,9999
dac,9999
dada,9999
daio,9999
dakt,9999
dal,9999
dali,9999
dalt,9999
dan,9999
dao,9999
dar,9999
dare,9999
dava,9999
dax,9999
db,9999
dba,9999
dbaw,9999
dbb,9999
dbc,9999
dbe,9999
dbeu,9999
dbez,9999
dbgr,9999
dbjp,9999
dbmf,9999
dbo,9999
dbp,9999
dci,9999
dco,9999
dcomp,9999
dcph,9999
dcth,9999
dd,9999
ddd,9999
ddiv,9999
ddm,9999
ddog,9999
dds,9999
ddwm,9999
de,9999
dea,9999
deck,9999
dei,9999
dell,9999
dem,9999
denn,9999
deo,9999
des,9999
desp,9999
dfe,9999
dfin,9999
dfj,9999
dfp,9999
dfs,9999
dgica,9999
dgicb,9999
dgii,9999
dgly,9999
dgp,9999
dgre,9999
dgro,9999
dgrs,9999
dgrw,9999
dgs,9999
dgt,9999
dgx,9999
dgz,9999
dhc,9999
dhcnl,9999
dhf,9999
dhi,9999
dhil,9999
dhr,9999
dhs,9999
dht,9999
dial,9999
diax,9999
dig,9999
din,9999
diod,9999
dis,9999
dish,9999
dit,9999
div,9999
divb,9999
divo,9999
divy,9999
djcb,9999
djco,9999
djd,9999
djp,9999
dk,9999
dkl,9999
dkng,9999
dks,9999
dla,9999
dlb,9999
dlhc,9999
dln,9999
dlng,9999
dlpn,9999
dls,9999
dlth,9999
dltr,9999
dlx,9999
dly,9999
dmac,9999
dmay,9999
dmb,9999
dmdv,9999
dmf,9999
dmlp,9999
dmo,9999
dmrc,9999
dmtk,9999
dmxf,9999
dnl,9999
dnn,9999
dnov copy,0
dnov,9999
dnp,9999
doc,9999
docu,9999
dog,9999
dogz,9999
domo,9999
don,9999
dooo,9999
door,9999
dov,9999
dow,9999
dox,9999
doyu,9999
dpg,9999
dpst,9999
dpz,9999
dq,9999
drh,9999
dri,9999
drio,9999
drip,9999
driv,9999
drn,9999
drq,9999
drrx,9999
drv,9999
dsgx,9999
dsi,9999
dske,9999
dsl,9999
dss,9999
dsu,9999
dswl,9999
dsx,9999
dt,9999
dtd,9999
dte,9999
dtec,9999
dth,9999
dtil,9999
dtss,9999
dug,9999
duk,9999
dura,9999
dusl,9999
dust,9999
dva,9999
dvax,9999
dvlu,9999
dvn,9999
dvol,9999
dvy,9999
dvya,9999
dvye,9999
dwas,9999
dwsh,9999
dwsn,9999
dwx,9999
dx,9999
dxc,9999
dxcm,9999
dxd,9999
dxj,9999
dxjs,9999
dxlg,9999
dxpe,9999
dxyn,9999
dy,9999
dynf,9999
dzsi,9999
dzz,9999
