Stock_name,Desired_page
k,9999
kai,9999
kala,9999
kall,0
kalu,0
kalv,0
kamn,0
kar,0
kars,0
kb,0
kba,0
kbe,0
kbh,0
kbr,0
kbwb,0
kbwd,0
kbwp,9999
kbwr,9999
kbwy,9999
kc,9999
kce,9999
ke,9999
kelya,9999
kelyb,9999
kem,9999
kemq,9999
kep,9999
kequ,9999
kern,0
kernw,9999
kex,9999
key,9999
kffb,9999
kfs,9999
kfy,9999
kgc,9999
kgji,9999
kgrn,9999
khc,9999
kids,0
kie,9999
kim,9999
kins,9999
kjan,9999
kjul,9999
kkr,9999
klac,9999
kldo,9999
kldw,9999
klic,9999
klxe,9999
kmb,9999
kmda,9999
kmf,0
kmi,9999
kmpr,9999
kndi,9999
kng,0
knsa,9999
knx,9999
ko,9999
kod,9999
kodk,9999
kof,0
koin,0
koku,0
kold,0
komp,9999
kop,9999
kopn,9999
korp,0
koru,9999
kos,9999
koss,9999
kpti,9999
krc,9999
kre,9999
kref,9999
krg,9999
krkr,9999
krmd,9999
krnt,9999
kro,9999
kros,9999
krp,9999
krtx,9999
krus,9999
krys,9999
ksa,9999
kss,9999
kt,9999
ktb,9999
ktcc,9999
ktf,9999
kth,9999
ktn,9999
ktos,9999
kura,9999
kure,9999
kw,0
kweb,9999
kwr,0
kxi,9999
kxin,0
kyn,0
kzia,0
kzr,0
