Stock_name,Desired_page
l,9999
labd,9999
labu,9999
lac,9999
ladr,9999
lake,9999
lamr,9999
lanc,9999
land,9999
landp,9999
lark,0
lasr,0
laur,0
laws,0
laz,0
lazy,0
lbrda,0
lbrdk,0
lcahw,0
lcii,0
lcnb,0
lcr,0
lctx,0
lcut,0
ldem,0
ldos,0
ldp,0
ldsf,0
ldur,0
le,0
lea,0
lead,0
leco,0
leds,0
lee,0
leg,0
legh,0
legn,0
leju,0
lemb,0
len.b,0
len,0
leo,0
leu,0
levi,0
lfeq,0
lfus,9999
lgf-a,9999
lgh,9999
lghl,9999
lghlw,0
lglv,9999
lgnd,9999
lgov,9999
lh,9999
lhc-u,0
lhc,0
lhx,0
life,9999
lii,9999
lila,9999
lilak,9999
lin,9999
linc,9999
lind,9999
liqt,9999
list10,0
list11,0
list12,0
list13,0
list14,0
list15,0
list16,0
list17,0
list18,0
list2,0
list3,0
list4,0
list5,0
list6,0
list7,0
list8,0
list9,0
lit,9999
litb,9999
lite,9999
live,9999
livn,9999
lizi,9999
lkco,9999
lkfn,9999
lkor,9999
lly,9999
lmat,9999
lmb,9999
lmbs,9999
lmfa,9999
lmpx,9999
lmt,9999
lnc,9999
lnd,9999
lng,0
lnn,0
lnt,9999
lnth,9999
loan copy,0
loan,9999
loco copy,0
loco,9999
logi copy,0
logi,9999
loma copy,0
loma,9999
loop copy,0
loop,9999
lope copy,0
lope,9999
love,9999
low,9999
lpcn,9999
lpg,9999
lpl,9999
lpla,9999
lpsn,9999
lpth,9999
lptx,9999
lpx,9999
lqd,9999
lqda,9999
lqdh,9999
lrcx,9999
lrmr,9999
lrn,9999
lsbk,9999
lscc,9999
lstr,9999
lsxma,9999
lsxmb,9999
lsxmk,9999
ltbr,9999
ltc,9999
lthm,9999
ltl,9999
ltpz,9999
ltrn,9999
ltrpa,0
ltrx,9999
lumo,9999
luna,9999
luv,9999
lvhd,9999
lvs,0
lw,9999
lway,9999
lx,9999
lxp,9999
lxu,9999
lyb,9999
lyft,9999
lyl,9999
lyra,9999
lyts,9999
lyv,9999
lzb,9999
