Stock_name,Desired_page
mms,9999
mmsi,9999
mmt,9999
mmtm,9999
mmu,9999
mmyt,9999
mna,9999
mndo,9999
mnkd,9999
mnov,9999
mnr,9999
mnro,9999
mnsb,9999
mnst,9999
mntx,9999
moat,9999
mod,9999
mofg,9999
mog-b,9999
mog.a,9999
mogo,9999
mogu,9999
momo,9999
moo,9999
mor,9999
morf,9999
morn,9999
mort,9999
mos,9999
moti,9999
moto,9999
mots,9999
mov,9999
mpaa,9999
mpb,9999
mplx,9999
mpv,9999
mpw,9999
mpwr,9999
mqt,9999
mqy,9999
mram,9999
mrbk,9999
mrcc,9999
mrcy,9999
mreo,9999
mrgr,9999
mrk,9999
mrkr,9999
mrns,9999
mro,9999
mrsk,9999
mrtx,9999
mrus,9999
mrvl,9999
ms,9999
msb,9999
msbi,9999
msc,9999
msci,9999
msd,9999
msex,9999
msft,9999
msgs,9999
msi,9999
msm,9999
msn,9999
mstr,9999
mt,9999
mta,9999
mtb,9999
mtc,9999
mtch,9999
mtd,9999
mtdr,9999
mtem,9999
mtex,9999
mtg,9999
mth,9999
mtls,9999
mtn,9999
mtnb,9999
mtr,9999
mtrn,9999
mtrx,9999
mtsi,9999
mtum,9999
mtx,9999
mtz,9999
mu,9999
mua,9999
mub,9999
mue,9999
mufg,9999
mui,9999
muj,9999
muni,9999
musa,9999
mux,9999
mvbf,9999
mvf,9999
mvis,9999
mvo,9999
mvt,9999
mvv,9999
mwa,9999
mx,9999
mxc,9999
mxf,9999
mxi,9999
mxl,9999
myd,9999
mye,9999
myfw,9999
mygn,9999
myi,9999
myn,9999
myo,9999
myrg,9999
mysz,9999
