Stock_name,Desired_page
nac,9999
nad,9999
nail,9999
nak,9999
,9999
nanr,9999
naov,9999
napr,9999
nari,9999
nat,9999
nath,9999
navi,9999
naz,9999
nbb,9999
nbh,9999
nbix,9999
nbn,9999
nbse,9999
nbtb,9999
nby,9999
nc,9999
nca,9999
nclh,9999
ncna,9999
ncsm,9999
ncz,9999
ndaq,9999
ndls,9999
ndp,9999
ndra,9999
ndsn,9999
ne,9999
nea,9999
near,9999
nee,9999
nem,9999
nen,9999
neo,9999
neon,9999
nep,9999
neph,9999
nept,9999
nerd,9999
nerv,9999
nesr,9999
net,9999
netl,9999
neu,9999
newt,9999
newti,9999
newtl,9999
nexa,9999
next,9999
nfbk,9999
nfe,9999
nfj,9999
nflt,9999
nfra,9999
nfty,9999
ng,9999
ngd,9999
nge,9999
ngl,9999
ngm,9999
ngvc,9999
nhc,9999
nhi,9999
nhs,9999
nhtc,9999
nie,9999
nim,9999
nine,9999
nio,9999
niu,9999
nke,9999
nkla,9999
nksh,9999
nktr,9999
nkx,9999
nl,9999
nlr,9999
nltx,0
nly,9999
nm,0
nmco,9999
nmfc,9999
nmi,9999
nmih,9999
nml,9999
nmm,9999
nmr,9999
nmrd,9999
nmrk,9999
nms,9999
nmt,9999
nmz,9999
nnbr,9999
nni,9999
nnn,9999
nnvc,9999
nny,9999
noah,9999
nobl,9999
noc,9999
nog,9999
nok,9999
nom,9999
nomd,9999
norw,9999
nov,9999
nova,9999
novt,9999
now,9999
npk,9999
npo,9999
nqp,9999
nr,9999
nrbo,9999
nref,9999
nrg,9999
nrgd,9999
nrgu,9999
nrgx,0
nrim,9999
nrk,9999
nro,9999
nrp,9999
nrt,9999
nruc,9999
ns,9999
nsc,9999
nsit,9999
nsp,9999
nspr,9999
nssc,9999
nstg,9999
ntap,9999
ntb,9999
ntco,9999
ntct,9999
ntes,9999
ntg,9999
ntgr,9999
ntic,9999
ntip,9999
ntla,9999
ntr,9999
ntra,9999
ntrs,9999
ntsx,9999
ntwk,9999
ntz,9999
nudm,9999
nue,9999
nugt,9999
nulg,9999
nulv,9999
numg,9999
numv,9999
nus,9999
nusc,9999
nusi,9999
nuv,9999
nuw,9999
nvax,9999
nvda,9999
nvec,9999
nvee,9999
nvg,9999
nvgs,9999
nviv,9999
nvmi,9999
nvo,9999
nvr,9999
nvro,9999
nvs,9999
nvst,9999
nvt,9999
nvta,9999
nwbi,9999
nwe,9999
nwl,9999
nwli,9999
nwpx,9999
nws,9999
nwsa,9999
nx,9999
nxc,9999
nxe,9999
nxj,9999
nxn,9999
nxrt,9999
nxst,9999
nxtc,9999
nxtg,9999
nycb,9999
nymt,9999
nymtn,9999
nzf,9999
