Stock_name,Mark
a,1
aa,1
aaau,3
aacg,3
aadr,3
aal,3
aamc,3
aame,3
aan,3
aaoi,3
aaon,3
aap,3
aapl,0
aat,0
aau,0
aaxj,0
ab,0
abbv,0
abcb,0
abeo,0
abeq,0
abev,0
abg,0
abio,0
abm,0
abr,0
abt,0
abus,0
ac,0
aca,0
acad,0
acb,0
acco,0
acel,0
acer,0
aces,0
acgl,0
acglo,0
achc,0
achv,0
aci,0
acio,0
aciu,0
aciw,0
acls,0
acm,0
acmr,0
acn,0
acnb,0
acor,0
acp,0
acre,0
acrs,0
acrx,0
acsi,0
acst,0
act,0
actg,0
acu,0
acv,0
acwi,0
acwv,0
acwx,0
adap,0
adbe,0
adc,0
adct,0
ades,0
adi,0
adil,0
adm,0
adma,0
adme,0
adnt,0
adp,0
adpt,0
adsk,0
adt,0
adtn,0
adtx,0
adus,0
advm,0
adx,0
adxn,0
adxs,0
ae,0
aee,0
aef,0
aefc,0
aeg,0
aehr,0
aeis,0
ael,0
aem,0
aemd,0
aeo,0
aep,0
aer,0
aes,0
aesr,0
aey,0
aeye,0
aezs,0
afb,0
afg,0
afgb,0
afgc,0
afgd,0
afif,0
afk,0
afl,0
aflg,0
afmc,0
afmd,0
afsm,0
aft,0
afty,0
afya,0
ag,0
agba,0
agbaw,0
agco,0
agd,0
age,0
agen,0
agg,0
aggy,0
agi,0
agio,0
agle,0
agm-a,0
agm,0
agmh,0
agnc,0
agncm,0
agncn,0
agnco,0
agncp,0
ago,0
agq,0
agr,0
agro,0
agrx,0
ags,0
agx,0
agys,0
agz,0
agzd,0
ahco,0
ahh,0
ahpi,0
aht,0
ai,0
aia,0
aic,0
aieq,0
aif,0
aig,0
aih,0
aihs,0
aim,0
ain,0
ainc,0
ainv,0
aio,0
aiq,0
air,0
airg,0
airr,0
airt,0
ait,0
aiv,0
aiz,0
ajg,0
ajx,0
ajxa,0
akam,0
akba,0
ako-a,0
ako-b,0
akr,0
akro,0
akts,0
aktx,0
al,0
alb,0
alc,0
alco,0
aldx,0
ale,0
alec,0
alex,0
alg,0
algn,0
algt,0
alim,0
aljj,0
alk,0
alks,0
all,0
alle,0
allk,0
allo,0
allt,0
alny,0
alot,0
alpn,0
alrm,0
alrn,0
alrs,0
alsn,0
alt,0
altg,0
altr,0
alty,0
alv,0
alx,0
am,0
amal,0
amat,0
amba,0
ambc,0
ambo,0
amc,0
amd,0
ame,0
amed,0
ameh,0
amg,0
amgn,0
amh,0
amj,0
amkr,0
amlp,0
amn,0
amna,0
amnb,0
amom,0
ampe,0
amph,0
ampy,0
amrc,0
amrk,0
amrn,0
ams,0
amsc,0
amsf,0
amswa,0
amt,0
amtb,0
amtd,0
amti,0
amtx,0
amub,0
amwd,0
amx,0
amza,0
amzn,0
an,0
anab,0
ande,0
anet,0
anf,0
angi,0
angl,0
anik,0
anip,0
anss,0
ante,0
anvs,0
any,0
aoa,0
aok,0
aom,0
aon,0
aor,0
aos,0
aosl,0
ap,0
apa,0
apam,0
apd,0
apdn,0
apei,0
apg,0
aph,0
api,0
aple,0
apls,0
aplt,0
apm,0
apo,0
apog,0
appf,0
appn,0
apps,0
apre,0
apt,0
apto,0
aptv,0
apvo,0
apwc,0
apyx,0
aqb,0
aqms,0
aqnb,0
aqst,0
ar,0
arav,0
aray,0
arb,0
arcb,0
arcc,0
arce,0
arch,0
arco,0
arct,0
ardc,0
ardx,0
are,0
arec,0
ares,0
argd,0
argt,0
argx,0
ari,0
arkf,0
arkg,0
arkk,0
arkq,0
arkr,0
arlo,0
arlp,0
armk,0
armp,0
armr,0
aroc,0
arow,0
arqt,0
arr,0
artl,0
artlw,0
artw,0
arvn,0
arw,0
arwr,0
asa,0
asb,0
asc,0
aset,0
asg,0
asgn,0
ash,0
ashr,0
ashs,0
ashx,0
asix,0
asln,0
asm,0
asml,0
aspn,0
asrt,0
asrv,0
astc,0
aste,0
asur,0
asx,0
asys,0
atec,0
aten,0
atex,0
athe,0
athm,0
athx,0
ati,0
atif,0
atkr,0
atlo,0
atmp,0
atni,0
atnm,0
ato,0
atom,0
atos,0
atr,0
atra,0
atrc,0
atri,0
atro,0
atsg,0
atus,0
atxi,0
aub,0
aubn,0
audc,0
auph,0
ava,0
aval,0
avav,0
avb,0
avco,0
avde,0
avdl,0
avdv,0
avem,0
avgo,0
avgr,0
avk,0
avns,0
avnw,0
avro,0
avt,0
avtr,0
avus,0
avuv,0
avy,0
awf,0
awi,0
awk,0
awp,0
awr,0
awre,0
axdx,0
axgn,0
axla,0
axnx,0
axp,0
axr,0
axs,0
axta,0
ay,0
ayro,0
azek,0
azn,0
azo,0
azul,0
azz,0
