Stock_name,Mark
g,0
gaa,0
gab,0
gaia,0
gain,0
gainl,0
galt,0
gam,0
gamr,0
gan,0
gass,0
gatx,0
gau,0
gbab,0
gbci,0
gbdc,0
gbf,0
gbli,0
gbr,0
gbuy,0
gbx,0
gcbc,0
gcc,0
gci,0
gco,0
gcv,0
gddy,0
gden,0
gdl,0
gdma,0
gdot,0
gds,0
gdv,0
gdvd,0
gdx,0
gdyn,0
ge,0
gecc,0
geccm,0
gef.b,0
gef,0
gel,0
gem,0
gen,0
genc,0
gene,0
geo,0
geos,0
germ,0
gern,0
ges,0
gevo,0
gf,0
gff,0
gfi,0
gfl,0
ggal,0
ggb,0
ggg,0
ggn,0
ghc,0
ghg,0
ghl,0
ghsi,0
ghy,0
gii,0
giii,0
gil,0
gild,0
gilt,0
gim,0
gis,0
gjo,0
gjp,0
gjs,0
gjt,0
gkos,0
gl,0
glbs,0
glbz,0
gld,0
gldd,0
gldi,0
gldm,0
glin,0
gll,0
glng,0
glo,0
glpi,0
glq,0
glt,0
gltr,0
glu,0
glw,0
glyc,0
gm,0
gmab,0
gmbl,0
gmda,0
gme,0
gmed,0
gmf,0
gmom,0
gmre,0
gms,0
gnca,0
gne,0
gnft,0
gnk,0
gnl,0
gnln,0
gnma,0
gnom,0
gnpx,0
gnr,0
gnrc,0
gnrs,0
gnrsw,0
gnss,0
gnt,0
gntx,0
gnty,0
goau,0
goex,0
gof,0
gogl,0
gogo,0
gol,0
gold,0
golf,0
good,0
goodn,0
goog,0
gpc,0
gpi,0
gpja,0
gpmt,0
gpn,0
gpor,0
gpp,0
gprk,0
gpro,0
gram,0
grbk,0
grek,0
gres,0
grf,0
grfs,0
grid,0
grin,0
grmn,0
grn,0
grnq,0
grow,0
grp-u,0
grpn,0
grvy,0
grx,0
gs,0
gsat,0
gsbc,0
gsbd,0
gsee,0
gsew,0
gsg,0
gshd,0
gsid,0
gsit,0
gsk,0
gsl,0
gssc,0
gsy,0
gt,0
gte,0
gtec,0
gtes,0
gth,0
gthx,0
gtim,0
gtls,0
gtn-a,0
gtn,0
gto,0
gtx,0
gunr,0
gure,0
gush,0
gut,0
gva,0
gval,0
gvi,0
gwre,0
gww,0
gwx,0
gxc,0
gxg,0
gyld,0
