Stock_name,Mark
ramp,0
rand,0
rapt,0
rare,0
rave,0
ravi,0
rba,0
rbb,0
rbbn,0
rbcaa,0
rbcn,0
rbkb,0
rcb,0
rcel,0
rcg,0
rci,0
rckt,0
rcky,0
rcl,0
rcm,0
rcmt,0
rcon,0
rcs,0
rcus,0
rdcm,0
rdfn,0
rdhl,0
rdi,0
rdib,0
rdiv,0
rdn,0
rdnt,0
rdog,0
rdus,0
rdvt,0
rdvy,0
rdwr,0
rdy,0
real,0
recs,0
refr,0
reg,0
regl,0
regn,0
rei,0
rek,0
rekr,0
rell,0
relv,0
relx,0
rem,0
remx,0
repl,0
res,0
resd,0
rese,0
resi,0
resp,0
retl,0
reto,0
revg,0
revs,0
rew,0
rex,0
reyn,0
rez,0
rezi,0
rf,0
rfci,0
rfda,0
rfdi,0
rfem,0
rfeu,0
rffc,0
rfi,0
rfil,0
rga,0
rgco,0
rgen,0
rgld,0
rgls,0
rgp,0
rgr,0
rgs,0
rgt,0
rh,0
rhe,0
rhi,0
rhp,0
ribt,0
rick,0
rig,0
rigl,0
rily,0
rilyg,0
rilym,0
rilyn,0
rilyo,0
rilyp,0
rilyz,0
rinf,0
ring,0
rio,0
riv,0
rjf,0
rkda,0
rl,0
rlgt,0
rli,0
rlj,0
rlmd,0
rly,0
rm,0
rmax,0
rmbi,0
rmbl,0
rmbs,0
rmcf,0
rmd,0
rmi,0
rmm,0
rmni,0
rmr,0
rmt,0
rmti,0
rna,0
rnem,0
rng,0
rngr,0
rnlc,0
rnmc,0
rnp,0
rnsc,0
road,0
roam,0
robo,0
robt,0
rock,0
rode,0
rodm,0
rog,0
roic,0
rok,0
rokt,0
roku,0
rol,0
rom,0
romo,0
roof,0
rop,0
rosc,0
rose,0
roseu,0
rosew,0
rost,0
rous,0
rpar,0
rpay,0
rpd,0
rpg,0
rpm,0
rprx,0
rpt,0
rptx,0
rpv,0
rqi,0
rrbi,0
rrc,0
rrr,0
rs,0
rsf,0
rsg,0
rsp,0
rsss,0
rth,0
ruby,0
run,0
rusha,0
rushb,0
rvlv,0
rvmd,0
rvnc,0
rvp,0
rvt,0
rwj,0
rwk,0
rwl,0
rwlk,0
rwm,0
rwo,0
rwr,0
rwt,0
rwx,0
rxd,0
rxl,0
ry,0
ryam,0
ryld,0
rytm,0
rzb,0
rzg,0
rzv,0
