Stock_name,Mark
spbo,0
spcb,0
spce,0
spdn,0
spdv,0
spdw,0
spem,0
speu,0
spff,0
spfi,0
spgm,0
sph,0
sphb,0
sphd,0
sphq,0
sphy,0
spi,0
spib,0
spip,0
splg,0
splk,0
splp,0
spmb,0
spmd,0
spmo,0
spmv,0
spns,0
spok,0
spot,0
sppp,0
spr,0
spro,0
spsc,0
spsk,0
spsm,0
spt,0
spti,0
sptm,0
sptn,0
spts,0
spus,0
spuu,0
spvm,0
spwh,0
spwr,0
spxc,0
spxe,0
spxl,0
spxt,0
spxu,0
spxv,0
spy,0
su,0
sub,0
sui,0
sum,0
sun,0
sunw,0
sup,0
supn,0
supv,0
susa,0
susb,0
susl,0
svm,0
svra,0
svt,0
svvc,0
svxy,0
swan,0
swbi,0
swi,0
swk,0
swkh,0
swks,0
swn,0
swtx,0
swx,0
swz,0
sxc,0
sxi,0
sxtc,0
sy,0
sybx,0
syk,0
syld,0
syna,0
synl,0
sypr,0
syy,0
szk,0
