Stock_name,Mark
iac,0
iae,0
iaf,0
iag,0
iagg,0
iak,0
iart,0
iau,0
ibb,0
ibd,0
ibdo,0
ibdp,0
ibdq,0
ibdr,0
ibds,0
ibdt,0
ibdu,0
ibdv,0
ibhd,0
ibhe,0
ibio,0
ibkr,0
ibm,0
ibml,0
ibmm,0
ibmn,0
ibmo,0
ibmp,0
ibmq,0
ibn,0
iboc,0
ibp,0
ibtd,0
ibte,0
ibtf,0
ibtg,0
ibth,0
ibti,0
ibtj,0
ibtx,0
icad,0
iccc,0
icch,0
icd,0
ice,0
icf,0
inbk,0
inbkz,0
inco,0
incy,0
inda,0
indb,0
indl,0
indo,0
inds,0
indy,0
infi,0
infn,0
infr,0
infu,0
infy,0
ing,0
ingn,0
ingr,0
inkm,0
inmb,0
inmd,0
ino,0
inod,0
inpx,0
insg,0
insi,0
insm,0
insw,0
intc,0
intl,0
