Stock_name,Mark
j,0
jack,0
jagx,0
jakk,0
jan,0
jbgs,0
jbht,0
jbk,0
jbl,0
jblu,0
jbss,0
jbt,0
jce,0
jci,0
jcpb,0
jctcf,0
jd,0
jdst,0
jef,0
jeld,0
jepi,0
jeq,0
jfin,0
jfr,0
jfu,0
jgh,0
jhaa,0
jhem,0
jhg,0
jhi,0
jhml,0
jhmm,0
jhmu,0
jhs,0
jhsc,0
jhx,0
jig,0
jill,0
jjsf,0
jks,0
jls,0
jmbs,0
jmia,0
jmm,0
jmst,0
jmub,0
jnj,0
jnk,0
jnpr,0
jnug,0
job,0
jof,0
jout,0
jpc,0
jpem,0
jpi,0
jpin,0
jpm,0
jpse,0
jpst,0
jpus,0
jpxn,0
jqc,0
jri,0
jrs,0
jrsh,0
jrvr,0
jsm,0
jsmd,0
jsml,0
julz,0
just,0
jval,0
jwn,0
jynt,0
