Stock_name,Mark
l,0
labd,0
labu,0
lac,0
ladr,0
lake,0
lamr,0
lanc,0
land,0
landp,0
lark,0
lasr,0
laur,0
laws,0
laz,0
lazy,0
lbrda,0
lbrdk,0
lcahw,0
lcii,0
lcnb,0
lcr,0
lctx,0
lcut,0
ldem,0
ldos,0
ldp,0
ldsf,0
ldur,0
le,0
lea,0
lead,0
leco,0
leds,0
lee,0
leg,0
legh,0
legn,0
leju,0
lemb,0
len.b,0
len,0
leo,0
leu,0
levi,0
lfeq,0
lfus,0
lgf-a,0
lgh,0
lghl,0
lghlw,0
lglv,0
lgnd,0
lgov,0
lh,0
lhc-u,0
lhc,0
lhx,0
life,0
lii,0
lila,0
lilak,0
lin,0
linc,0
lind,0
liqt,0
list10,0
list11,0
list12,0
list13,0
list14,0
list15,0
list16,0
list17,0
list18,0
list2,0
list3,0
list4,0
list5,0
list6,0
list7,0
list8,0
list9,0
lit,0
litb,0
lite,0
live,0
livn,0
lizi,0
lkco,0
lkfn,0
lkor,0
lly,0
lmat,0
lmb,0
lmbs,0
lmfa,0
lmpx,0
lmt,0
lnc,0
lnd,0
lng,0
lnn,0
lnt,0
lnth,0
loan copy,0
loan,0
loco copy,0
loco,0
logi copy,0
logi,0
loma copy,0
loma,0
loop copy,0
loop,0
lope copy,0
lope,0
love,0
low,0
lpcn,0
lpg,0
lpl,0
lpla,0
lpsn,0
lpth,0
lptx,0
lpx,0
lqd,0
lqda,0
lqdh,0
lrcx,0
lrmr,0
lrn,0
lsbk,0
lscc,0
lstr,0
lsxma,0
lsxmb,0
lsxmk,0
ltbr,0
ltc,0
lthm,0
ltl,0
ltpz,0
ltrn,0
ltrpa,0
ltrx,0
lumo,0
luna,0
luv,0
lvhd,0
lvs,0
lw,0
lway,0
lx,0
lxp,0
lxu,0
lyb,0
lyft,0
lyl,0
lyra,0
lyts,0
lyv,0
lzb,0
