Stock_name,Mark
oblg,0
obor,0
oc,0
occi,0
ocfc,0
ocfcp,0
ocft,0
ocgn,0
ocio,0
ocn,0
ocsl,0
ocul,0
ocx,0
odc,0
odfl,0
odp,0
oec,0
oef,0
oesx,0
oeur,0
ofed,0
ofg,0
ofix,0
oflx,0
ogcp,0
oge,0
ogen,0
ogi,0
ogig,0
ohi,0
oi,0
oii,0
oilk,0
oke,0
okta,0
oled,0
olli,0
oln,0
olp,0
omer,0
omex,0
omf,0
omfl,0
omfs,0
omi,0
on,0
onb,0
onct,0
oncy,0
oneo,0
oneq,0
onev,0
onew,0
oney,0
onto,0
ontx,0
ooma,0
opch,0
opgn,0
ophc,0
opi,0
opinl,0
opk,0
opof,0
opp,0
opra,0
oprt,0
oprx,0
optn,0
optt,0
opy,0
or,0
ora,0
oran,0
orc,0
orcl,0
orgo,0
orgs,0
oric,0
orly,0
ormp,0
ortx,0
oscv,0
osg,0
osis,0
ospn,0
oss,0
osur,0
osw,0
otex,0
otis,0
otlk,0
ottw,0
ounz,0
ousa,0
ousm,0
out,0
ovb,0
ovbc,0
ovf,0
ovid,0
ovl,0
ovly,0
ovm,0
ovs,0
ovv,0
oxbr,0
oxbrw,0
oxlc,0
oxlcm,0
oxlco,0
oxsq,0
oxsql,0
oxsqz,0
oxy,0
ozk,0
