Stock_name,Mark
t,0
tac,0
tags,0
tail,0
tait,0
tak,0
talo,0
tan,0
tanh,0
taop,0
tap,0
tara,0
taro,0
tast,0
tatt,0
taxf,0
tayd,0
tbb,0
tbbk,0
tbf,0
tbio,0
tbk,0
tblt,0
tbnk,0
tbph,0
tbt,0
tbx,0
tcbk,0
tcco,0
tci,0
tcom,0
tcon,0
tcpc,0
tcs,0
tcx,0
td,0
tdc,0
tdf,0
tdiv,0
tdoc,0
tds,0
tdv,0
tdw,0
teaf,0
team,0
tech,0
teck,0
tecl,0
tecs,0
tectp,0
tedu,0
tela,0
tell,0
tenb,0
tenx,0
teo,0
ter,0
teum,0
teva,0
tex,0
tfc,0
tfi,0
tfii,0
tflo,0
tfx,0
tg,0
tgb,0
tgen,0
tgh,0
tgi,0
tgls,0
tgna,0
tgs,0
tgt,0
tgtx,0
th,0
thc,0
thca,0
thcx,0
thd,0
thg,0
thm,0
thmo,0
thnq,0
tho,0
thq,0
thrm,0
ths,0
thtx,0
thw,0
thwww,0
thy,0
tigo,0
tigr,0
tile,0
tip,0
tipt,0
tipx,0
tisi,0
titn,0
tjx,0
tk,0
tkc,0
tkr,0
tlh,0
tlk,0
tlsa,0
tlt,0
tltd,0
tlte,0
tlys,0
tm,0
tmbr,0
tmdv,0
tmdx,0
tme,0
tmf,0
tmfc,0
tmo,0
tmp,0
tmq,0
tmst,0
tmus,0
tmv,0
tna,0
tnc,0
tndm,0
tnet,0
tnk,0
tnp,0
tnxp,0
tok,0
toke,0
tol,0
tolz,0
tops,0
totl,0
tour,0
tpb,0
tpc,0
tph,0
tphd,0
tphs,0
tpif,0
tpl,0
tplc,0
tpr,0
tpsc,0
tpvg,0
tpx,0
tpyp,0
tpz,0
tqqq,0
tr,0
trc,0
tree,0
trex,0
trgp,0
tri,0
trip,0
trmb,0
trmd,0
trmk,0
trn,0
trno,0
trns,0
trow,0
trox,0
trp,0
trs,0
trst,0
trt,0
trtx,0
tru,0
true,0
trup,0
trv,0
trvg,0
trvi,0
trvn,0
trx,0
ts,0
tsbk,0
tsco,0
tse,0
tsem,0
tsi,0
tsla,0
tslx,0
tsm,0
tsn,0
tt,0
ttac,0
ttai,0
ttc,0
ttec,0
ttek,0
ttgt,0
tti,0
ttmi,0
ttnp,0
ttoo,0
ttp,0
ttt,0
ttwo,0
tup,0
turn,0
tusk,0
tv,0
tvc,0
tve,0
tw,0
twi,0
twlo,0
twn,0
two,0
twou,0
twst,0
tx,0
txg,0
txmd,0
txn,0
txrh,0
ty,0
tyd,0
tyg,0
tyl,0
tyo,0
tza,0
tzoo,0
