Date,Headline,URL
"JAN 17, 2024","S&P Futures Slip Ahead of Key U.S. Retail Sales Data, Chinese Data Disappoints",https://www.nasdaq.com/articles/sp-futures-slip-ahead-of-key-u.s.-retail-sales-data-chinese-data-disappoints
"JAN 17, 2024",How The Pieces Add Up: IVOV Headed For $92,https://www.nasdaq.com/articles/how-the-pieces-add-up%3A-ivov-headed-for-%2492
"JAN 17, 2024","S&P Futures Tick Lower Ahead of Key U.S. Retail Sales Data, Chinese Data Disappoints",https://www.nasdaq.com/articles/sp-futures-tick-lower-ahead-of-key-u.s.-retail-sales-data-chinese-data-disappoints
"JAN 17, 2024",Alcoa Q4 23 Earnings Conference Call At 5:00 PM ET,https://www.nasdaq.com/articles/alcoa-q4-23-earnings-conference-call-at-5%3A00-pm-et
"JAN 16, 2024","Chipmakers Lead, Markets Slip Overall",https://www.nasdaq.com/articles/chipmakers-lead-markets-slip-overall
"JAN 16, 2024","Notable Tuesday Option Activity: AA, IDCC, BBY",https://www.nasdaq.com/articles/notable-tuesday-option-activity%3A-aa-idcc-bby
"JAN 16, 2024",AA Quantitative Stock Analysis,https://www.nasdaq.com/articles/aa-quantitative-stock-analysis-2
"NOV 30, 2023",Global aluminium producer seeks Q1 premium of $95/T -sources,https://www.nasdaq.com/articles/global-aluminium-producer-seeks-q1-premium-of-%2495-t-sources
"NOV 30, 2023",Alcoa (AA) Outperforms Broader Market: What You Need to Know,https://www.nasdaq.com/articles/alcoa-aa-outperforms-broader-market%3A-what-you-need-to-know
"NOV 24, 2023",Alcoa (AA) Stock Declines While Market Improves: Some Information for Investors,https://www.nasdaq.com/articles/alcoa-aa-stock-declines-while-market-improves%3A-some-information-for-investors
"NOV 23, 2023",Guru Fundamental Report for AA,https://www.nasdaq.com/articles/guru-fundamental-report-for-aa-9
"NOV 20, 2023",Implied MDYV Analyst Target Price: $76,https://www.nasdaq.com/articles/implied-mdyv-analyst-target-price%3A-%2476
"NOV 17, 2023",Industry group urges EU to impose broader sanctions on Russian aluminium,https://www.nasdaq.com/articles/industry-group-urges-eu-to-impose-broader-sanctions-on-russian-aluminium
"NOV 17, 2023",Industry group urges EU to impose wider sanctions on Russian aluminium,https://www.nasdaq.com/articles/industry-group-urges-eu-to-impose-wider-sanctions-on-russian-aluminium
"NOV 10, 2023",Interesting AA Put And Call Options For January 2026,https://www.nasdaq.com/articles/interesting-aa-put-and-call-options-for-january-2026
"NOV 9, 2023",Guru Fundamental Report for AA,https://www.nasdaq.com/articles/guru-fundamental-report-for-aa-8
"NOV 7, 2023","COLUMN-New EU power market, same old problems for metals sector: Andy Home",https://www.nasdaq.com/articles/column-new-eu-power-market-same-old-problems-for-metals-sector%3A-andy-home-0
"NOV 7, 2023","COLUMN-New EU power market, same old problems for metals sector: Andy Home",https://www.nasdaq.com/articles/column-new-eu-power-market-same-old-problems-for-metals-sector%3A-andy-home
"OCT 26, 2023",Guru Fundamental Report for AA,https://www.nasdaq.com/articles/guru-fundamental-report-for-aa-7
"OCT 26, 2023",December 8th Options Now Available For Alcoa (AA),https://www.nasdaq.com/articles/december-8th-options-now-available-for-alcoa-aa
"OCT 26, 2023","Ex-Dividend Reminder: Omega Healthcare Investors, Texas Instruments and Alcoa",https://www.nasdaq.com/articles/ex-dividend-reminder%3A-omega-healthcare-investors-texas-instruments-and-alcoa
"OCT 23, 2023",Alcoa Corp Shares Approach 52-Week Low - Market Mover,https://www.nasdaq.com/articles/alcoa-corp-shares-approach-52-week-low-market-mover-0
"OCT 22, 2023",Alcoa Corp Shares Close in on 52-Week Low - Market Mover,https://www.nasdaq.com/articles/alcoa-corp-shares-close-in-on-52-week-low-market-mover
"OCT 20, 2023",Citigroup Maintains Alcoa (AA) Buy Recommendation,https://www.nasdaq.com/articles/citigroup-maintains-alcoa-aa-buy-recommendation-0
"OCT 20, 2023",B. Riley Securities Maintains Alcoa (AA) Neutral Recommendation,https://www.nasdaq.com/articles/b.-riley-securities-maintains-alcoa-aa-neutral-recommendation-1
"OCT 19, 2023",JP Morgan Maintains Alcoa (AA) Neutral Recommendation,https://www.nasdaq.com/articles/jp-morgan-maintains-alcoa-aa-neutral-recommendation-0
"OCT 19, 2023",BMO Capital Maintains Alcoa (AA) Market Perform Recommendation,https://www.nasdaq.com/articles/bmo-capital-maintains-alcoa-aa-market-perform-recommendation-1
"OCT 19, 2023","Noteworthy Thursday Option Activity: MIDD, AA, LZ",https://www.nasdaq.com/articles/noteworthy-thursday-option-activity%3A-midd-aa-lz
"OCT 18, 2023",Alcoa (AA) Q3 Earnings: How Key Metrics Compare to Wall Street Estimates,https://www.nasdaq.com/articles/alcoa-aa-q3-earnings%3A-how-key-metrics-compare-to-wall-street-estimates
"OCT 18, 2023","Alcoa (AA) Reports Q3 Loss, Tops Revenue Estimates",https://www.nasdaq.com/articles/alcoa-aa-reports-q3-loss-tops-revenue-estimates
"OCT 18, 2023","Alcoa Corp. Q3 Loss Decreases, but misses estimates",https://www.nasdaq.com/articles/alcoa-corp.-q3-loss-decreases-but-misses-estimates
"OCT 18, 2023",Alcoa Q3 23 Earnings Conference Call At 5:00 PM ET,https://www.nasdaq.com/articles/alcoa-q3-23-earnings-conference-call-at-5%3A00-pm-et
"OCT 13, 2023",Alcoa (AA) Declines More Than Market: Some Information for Investors,https://www.nasdaq.com/articles/alcoa-aa-declines-more-than-market%3A-some-information-for-investors
"OCT 13, 2023",Major Banks Start Reporting Q3 Earnings,https://www.nasdaq.com/articles/major-banks-start-reporting-q3-earnings
"OCT 13, 2023","Big Banks Beat in Q3, Import Prices Lower",https://www.nasdaq.com/articles/big-banks-beat-in-q3-import-prices-lower
"OCT 12, 2023",AA December 1st Options Begin Trading,https://www.nasdaq.com/articles/aa-december-1st-options-begin-trading
"OCT 11, 2023",What To Expect From Alcoa's Q3 Results?,https://www.nasdaq.com/articles/what-to-expect-from-alcoas-q3-results
"OCT 11, 2023",Analysts Estimate Alcoa (AA) to Report a Decline in Earnings: What to Look Out for,https://www.nasdaq.com/articles/analysts-estimate-alcoa-aa-to-report-a-decline-in-earnings%3A-what-to-look-out-for-2
"OCT 11, 2023","AZZ's Q2 Earnings Surpass Estimates, Sales Decrease Y/Y",https://www.nasdaq.com/articles/azzs-q2-earnings-surpass-estimates-sales-decrease-y-y
"OCT 6, 2023","Noteworthy Friday Option Activity: SP, TWLO, AA",https://www.nasdaq.com/articles/noteworthy-friday-option-activity%3A-sp-twlo-aa
"OCT 5, 2023",Jefferies Maintains Alcoa (AA) Buy Recommendation,https://www.nasdaq.com/articles/jefferies-maintains-alcoa-aa-buy-recommendation
"OCT 4, 2023",Alcoa (AA) Stock Slides as Market Rises: Facts to Know Before You Trade,https://www.nasdaq.com/articles/alcoa-aa-stock-slides-as-market-rises%3A-facts-to-know-before-you-trade
"SEP 28, 2023",Interesting AA Put And Call Options For November 10th,https://www.nasdaq.com/articles/interesting-aa-put-and-call-options-for-november-10th
"SEP 26, 2023","Company News for Sep 26, 2023",https://www.nasdaq.com/articles/company-news-for-sep-26-2023
"SEP 25, 2023","Noteworthy Monday Option Activity: AA, CCRN, UUUU",https://www.nasdaq.com/articles/noteworthy-monday-option-activity%3A-aa-ccrn-uuuu
"SEP 25, 2023",Alcoa Slides 5% In Morning Trade,https://www.nasdaq.com/articles/alcoa-slides-5-in-morning-trade
"SEP 25, 2023",Alcoa Promotes William Oplinger To CEO,https://www.nasdaq.com/articles/alcoa-promotes-william-oplinger-to-ceo
"SEP 25, 2023",Alcoa appoints insider William Oplinger as CEO,https://www.nasdaq.com/articles/alcoa-appoints-insider-william-oplinger-as-ceo-0
"SEP 25, 2023",Alcoa appoints insider William Oplinger as CEO,https://www.nasdaq.com/articles/alcoa-appoints-insider-william-oplinger-as-ceo
"SEP 18, 2023",Want Better Returns? Don?t Ignore These 2 Industrial Products Stocks Set to Beat Earnings,https://www.nasdaq.com/articles/want-better-returns-dont-ignore-these-2-industrial-products-stocks-set-to-beat-earnings-5
"SEP 15, 2023",JP Morgan Maintains Alcoa (AA) Neutral Recommendation,https://www.nasdaq.com/articles/jp-morgan-maintains-alcoa-aa-neutral-recommendation
"SEP 15, 2023","Notable Friday Option Activity: TDOC, BCO, AA",https://www.nasdaq.com/articles/notable-friday-option-activity%3A-tdoc-bco-aa
"SEP 12, 2023",Alcoa (AA) Dips More Than Broader Markets: What You Should Know,https://www.nasdaq.com/articles/alcoa-aa-dips-more-than-broader-markets%3A-what-you-should-know-10
"SEP 12, 2023",1 Stock to Buy Now for the Aluminum Price Recovery,https://www.nasdaq.com/articles/1-stock-to-buy-now-for-the-aluminum-price-recovery
"SEP 7, 2023",AA October 27th Options Begin Trading,https://www.nasdaq.com/articles/aa-october-27th-options-begin-trading
"SEP 6, 2023",Alcoa (AA) Stock Moves -0.3%: What You Should Know,https://www.nasdaq.com/articles/alcoa-aa-stock-moves-0.3%3A-what-you-should-know
"AUG 30, 2023","Unusual Put Option Trade in Alcoa (AA) Worth $6,252.50K",https://www.nasdaq.com/articles/unusual-put-option-trade-in-alcoa-aa-worth-%246252.50k
"AUG 30, 2023",Alcoa (AA) Stock Sinks As Market Gains: What You Should Know,https://www.nasdaq.com/articles/alcoa-aa-stock-sinks-as-market-gains%3A-what-you-should-know-7
