Stock_name,Desired_page
qaba,9999
qai,9999
qarp,9999
qat,9999
qcln,9999
qcom,9999
qcrh,9999
qd,9999
qdef,9999
qdel,9999
qefa,9999
qemm,9999
qfin,9999
qgen,9999
qgro,9999
qid,9999
qint,9999
qiwi,9999
qqqx,9999
qqxt,9999
qrft,9999
qrhc,9999
qrtea,9999
qrvo,9999
qsr,9999
qtrx,9999
qtum,9999
qtwo,9999
quad,9999
qual,9999
quik,9999
qure,9999
qus,9999
qval,9999
qvcd,9999
qyld,9999
qk,0
qlc,9999
qld,9999
qlta,9999
qlv,9999
qlvd,9999
qlve,9999
qlys,9999
qmco,9999
qmom,9999
qnst,9999
qqew,9999
qqh,9999
qqq,9999
qqqe,9999
