Stock_name,Desired_page
ramp,9999
rand,9999
rapt,9999
rare,9999
rave,9999
ravi,9999
rba,9999
rbb,9999
rbbn,9999
rbcaa,9999
rbcn,9999
rbkb,9999
rcb,9999
rcel,9999
rcg,9999
rci,9999
rckt,9999
rcky,9999
rcl,9999
rcm,9999
rcmt,9999
rcon,9999
rcs,9999
rcus,9999
rdcm,9999
rdfn,9999
rdhl,9999
rdi,9999
rdib,9999
rdiv,9999
rdn,9999
rdnt,9999
rdog,9999
rdus,9999
rdvt,9999
rdvy,9999
rdwr,9999
rdy,9999
real,9999
recs,9999
refr,9999
reg,9999
regl,9999
regn,9999
rei,9999
rek,9999
rekr,9999
rell,9999
relv,9999
relx,9999
rem,9999
remx,9999
repl,9999
res,9999
resd,9999
rese,9999
resi,0
resp,9999
retl,9999
reto,9999
revg,9999
revs,9999
rew,9999
rex,9999
reyn,9999
rez,9999
rezi,9999
rf,9999
rfci,9999
rfda,9999
rfdi,9999
rfem,9999
rfeu,9999
rffc,9999
rfi,9999
rfil,9999
rga,9999
rgco,9999
rgen,9999
rgld,9999
rgls,9999
rgp,9999
rgr,9999
rgs,9999
rgt,9999
rh,9999
rhe,9999
rhi,9999
rhp,9999
ribt,9999
rick,9999
rig,9999
rigl,9999
rily,9999
rilyg,9999
rilym,9999
rilyn,9999
rilyo,9999
rilyp,9999
rilyz,9999
rinf,9999
ring,9999
rio,9999
riv,9999
rjf,9999
rkda,9999
rl,9999
rlgt,9999
rli,9999
rlj,9999
rlmd,9999
rly,9999
rm,9999
rmax,9999
rmbi,9999
rmbl,9999
rmbs,9999
rmcf,9999
rmd,9999
rmi,9999
rmm,9999
rmni,9999
rmr,9999
rmt,9999
rmti,9999
rna,9999
rnem,9999
rng,9999
rngr,9999
rnlc,9999
rnmc,9999
rnp,9999
rnsc,9999
road,9999
roam,9999
robo,9999
robt,9999
rock,9999
rode,9999
rodm,9999
rog,9999
roic,9999
rok,9999
rokt,9999
roku,9999
rol,9999
rom,9999
romo,9999
roof,9999
rop,9999
rosc,9999
rose,0
roseu,0
rosew,0
rost,9999
rous,9999
rpar,9999
rpay,9999
rpd,9999
rpg,9999
rpm,9999
rprx,9999
rpt,9999
rptx,9999
rpv,9999
rqi,9999
rrbi,9999
rrc,9999
rrr,9999
rs,9999
rsf,9999
rsg,9999
rsp,9999
rsss,9999
rth,9999
ruby,9999
run,9999
rusha,9999
rushb,9999
rvlv,9999
rvmd,9999
rvnc,9999
rvp,9999
rvt,9999
rwj,9999
rwk,9999
rwl,9999
rwlk,9999
rwm,9999
rwo,9999
rwr,9999
rwt,9999
rwx,9999
rxd,9999
rxl,9999
ry,9999
ryam,9999
ryld,9999
rytm,9999
rzb,9999
rzg,9999
rzv,9999
