Stock_name,Desired_page
spbo,9999
spcb,9999
spce,9999
spdn,9999
spdv,9999
spdw,9999
spem,9999
speu,9999
spff,9999
spfi,9999
spgm,9999
sph,9999
sphb,9999
sphd,9999
sphq,9999
sphy,9999
spi,9999
spib,9999
spip,9999
splg,9999
splk,9999
splp,9999
spmb,9999
spmd,9999
spmo,9999
spmv,9999
spns,9999
spok,9999
spot,9999
sppp,9999
spr,9999
spro,9999
spsc,9999
spsk,9999
spsm,9999
spt,9999
spti,9999
sptm,9999
sptn,9999
spts,9999
spus,9999
spuu,9999
spvm,9999
spwh,9999
spwr,9999
spxc,9999
spxe,9999
spxl,9999
spxt,9999
spxu,9999
spxv,9999
spy,9999
su,9999
sub,9999
sui,9999
sum,9999
sun,9999
sunw,9999
sup,9999
supn,9999
supv,9999
susa,9999
susb,9999
susl,9999
svm,9999
svra,9999
svt,9999
svvc,9999
svxy,9999
swan,9999
swbi,9999
swi,9999
swk,9999
swkh,9999
swks,9999
swn,9999
swtx,9999
swx,9999
swz,9999
sxc,9999
sxi,9999
sxtc,9999
sy,9999
sybx,9999
syk,9999
syld,9999
syna,9999
synl,9999
sypr,9999
syy,9999
szk,9999
