Stock_name,Desired_page
t,9999
tac,9999
tags,9999
tail,9999
tait,9999
tak,9999
talo,9999
tan,9999
tanh,9999
taop,9999
tap,9999
tara,9999
taro,9999
tast,9999
tatt,9999
taxf,9999
tayd,9999
tbb,9999
tbbk,9999
tbf,9999
tbio,9999
tbk,9999
tblt,9999
tbnk,9999
tbph,9999
tbt,9999
tbx,9999
tcbk,9999
tcco,9999
tci,9999
tcom,9999
tcon,9999
tcpc,9999
tcs,9999
tcx,9999
td,9999
tdc,9999
tdf,9999
tdiv,9999
tdoc,9999
tds,9999
tdv,9999
tdw,9999
teaf,9999
team,9999
tech,9999
teck,9999
tecl,9999
tecs,9999
tectp,9999
tedu,9999
tela,9999
tell,9999
tenb,9999
tenx,9999
teo,9999
ter,9999
teum,9999
teva,9999
tex,9999
tfc,9999
tfi,9999
tfii,9999
tflo,9999
tfx,9999
tg,9999
tgb,9999
tgen,9999
tgh,9999
tgi,9999
tgls,9999
tgna,9999
tgs,9999
tgt,9999
tgtx,9999
th,9999
thc,9999
thca,9999
thcx,9999
thd,9999
thg,9999
thm,9999
thmo,9999
thnq,9999
tho,9999
thq,9999
thrm,9999
ths,9999
thtx,9999
thw,9999
thwww,9999
thy,9999
tigo,9999
tigr,9999
tile,9999
tip,9999
tipt,9999
tipx,9999
tisi,9999
titn,9999
tjx,9999
tk,9999
tkc,9999
tkr,9999
tlh,9999
tlk,9999
tlsa,9999
tlt,9999
tltd,9999
tlte,9999
tlys,9999
tm,9999
tmbr,0
tmdv,9999
tmdx,9999
tme,9999
tmf,9999
tmfc,9999
tmo,9999
tmp,9999
tmq,9999
tmst,9999
tmus,9999
tmv,9999
tna,9999
tnc,9999
tndm,9999
tnet,9999
tnk,9999
tnp,9999
tnxp,9999
tok,9999
toke,9999
tol,9999
tolz,9999
tops,9999
totl,9999
tour,9999
tpb,9999
tpc,9999
tph,9999
tphd,9999
tphs,9999
tpif,9999
tpl,9999
tplc,9999
tpr,9999
tpsc,9999
tpvg,9999
tpx,9999
tpyp,9999
tpz,9999
tqqq,9999
tr,9999
trc,9999
tree,9999
trex,9999
trgp,9999
tri,9999
trip,9999
trmb,9999
trmd,9999
trmk,9999
trn,9999
trno,9999
trns,9999
trow,9999
trox,9999
trp,9999
trs,9999
trst,9999
trt,9999
trtx,9999
tru,9999
true,9999
trup,9999
trv,9999
trvg,9999
trvi,9999
trvn,9999
trx,9999
ts,9999
tsbk,9999
tsco,9999
tse,9999
tsem,9999
tsi,9999
tsla,9999
tslx,9999
tsm,9999
tsn,9999
tt,9999
ttac,9999
ttai,9999
ttc,9999
ttec,9999
ttek,9999
ttgt,9999
tti,9999
ttmi,9999
ttnp,9999
ttoo,9999
ttp,9999
ttt,9999
ttwo,9999
tup,9999
turn,9999
tusk,9999
tv,9999
tvc,9999
tve,9999
tw,9999
twi,9999
twlo,9999
twn,9999
two,9999
twou,9999
twst,9999
tx,9999
txg,9999
txmd,9999
txn,9999
txrh,9999
ty,9999
tyd,9999
tyg,9999
tyl,9999
tyo,9999
tza,9999
tzoo,9999
