Stock_name,Desired_page
v,9999
vac,9999
val,9999
vale,9999
valq,9999
valu,9999
vamo,9999
vapo,0
vaw,9999
vb,9999
vbf,9999
vbfc,9999
vbiv,9999
vbk,9999
vbnd,9999
vc,9999
vcel,9999
vcit,9999
vclt,9999
vcnx,9999
vcr,9999
vcsh,9999
vcyt,9999
vde,9999
vea,9999
veco,9999
veev,9999
vega,9999
vegi,9999
vegn,9999
vel,9999
veon,9999
verb,9999
verbw,9999
veri,9999
vero,9999
veru,9999
very,9999
vet,9999
veu,9999
vfc,9999
vff,9999
vfh,9999
vfl,9999
vfmf,9999
vfmo,9999
vfmv,9999
vfqy,9999
vfva,9999
vgi,9999
vgit,9999
vgk,9999
vglt,9999
vgm,9999
vgr,9999
vgsh,9999
vgt,9999
vgz,9999
vhc,9999
vhi,9999
vht,9999
viav,9999
vici,9999
vicr,9999
vig,9999
vigi,9999
viog,9999
vioo,9999
viot,9999
viov,9999
vips,9999
vir,9999
virc,9999
virt,9999
vis,9999
visl,9999
vist,9999
viv,9999
vixm,9999
vixy,9999
vjet,9999
vki,9999
vkq,9999
vktx,9999
vlgea,9999
vlo,9999
vlrs,9999
vlt,9999
vlu,9999
vlue,9999
vly,9999
vlypo,9999
vlypp,9999
vmc,9999
vmi,9999
vmo,9999
vmot,9999
vmw,0
vnce,9999
vnet,9999
vnla,9999
vnm,9999
vno,9999
vnom,9999
vnq,9999
vnqi,9999
vnrx,9999
vo,9999
voc,9999
vod,9999
voe,9999
vonv,9999
voo,9999
voov,9999
vot,9999
vox,9999
voxx,9999
vpc,9999
vpl,9999
vpu,9999
vpv,9999
vra,9999
vrai,9999
vrca,9999
vrex,9999
vrig,9999
vrm,9999
vrmew,9999
vrna,9999
vrns,9999
vrnt,9999
vrp,9999
vrrm,9999
vrsk,9999
vrsn,9999
vrt,9999
vrts,9999
vrtv,0
vrtx,9999
vsda,9999
vsgx,9999
vsh,9999
vsmv,9999
vss,9999
vst,9999
vstm,9999
vsto,9999
vt,9999
vtc,9999
vteb,9999
vthr,9999
vti,9999
vtip,9999
vtn,9999
vtnr,9999
vtol,9999
vtr,9999
vtsi,9999
vtv,9999
vtvt,9999
vtwg,9999
vtwo,9999
vtwv,9999
vug,9999
vuse,9999
vuzi,9999
vv,9999
vvi,9999
vvv,9999
vwo,9999
vwob,9999
vxf,9999
vxrt,9999
vxus,9999
vxx,9999
vxz,9999
vygr,9999
vym,9999
vymi,9999
