Stock_name,Desired_page
x,9999
xair,9999
xar,9999
xbi,9999
xbio,9999
xbiow,9999
xbit,9999
xcem,9999
xcur,9999
xel,9999
xelb,9999
xers,9999
xes,9999
xflt,9999
xfor,9999
xgn,9999
xhb,9999
xhe,9999
xhr,9999
xin,9999
xitk,9999
xlb,9999
xlc,9999
xle,9999
xlf,9999
xlg,9999
xli,9999
xlk,9999
xlp,9999
xlre,9999
xlsr,9999
xlu,9999
xlv,9999
xly,9999
xme,9999
xmhq,9999
xmlv,9999
xmmo,9999
xmpt,9999
xmvm,9999
xncr,9999
xnet,9999
xntk,9999
xom,9999
xoma,9999
xone,9999
xop,9999
xp,9999
xper,9999
xpl,9999
xpo,9999
xpp,9999
xray,9999
xrlv,9999
xrt,9999
xsd,9999
xshd,9999
xshq,9999
xslv,9999
xsmo,9999
xsoe,9999
xsvm,9999
xsw,9999
xt,9999
xtl,9999
xtlb,9999
xtnt,9999
xweb,9999
xxii,9999
xyf,9999
xyl,9999
