Stock_name,Mark
mms,0
mmsi,0
mmt,0
mmtm,0
mmu,0
mmyt,0
mna,0
mndo,0
mnkd,0
mnov,0
mnr,0
mnro,0
mnsb,0
mnst,0
mntx,0
moat,0
mod,0
mofg,0
mog-b,0
mog.a,0
mogo,0
mogu,0
momo,0
moo,0
mor,0
morf,0
morn,0
mort,0
mos,0
moti,0
moto,0
mots,0
mov,0
mpaa,0
mpb,0
mplx,0
mpv,0
mpw,0
mpwr,0
mqt,0
mqy,0
mram,0
mrbk,0
mrcc,0
mrcy,0
mreo,0
mrgr,0
mrk,0
mrkr,0
mrns,0
mro,0
mrsk,0
mrtx,0
mrus,0
mrvl,0
ms,0
msb,0
msbi,0
msc,0
msci,0
msd,0
msex,0
msft,0
msgs,0
msi,0
msm,0
msn,0
mstr,0
mt,0
mta,0
mtb,0
mtc,0
mtch,0
mtd,0
mtdr,0
mtem,0
mtex,0
mtg,0
mth,0
mtls,0
mtn,0
mtnb,0
mtr,0
mtrn,0
mtrx,0
mtsi,0
mtum,0
mtx,0
mtz,0
mu,0
mua,0
mub,0
mue,0
mufg,0
mui,0
muj,0
muni,0
musa,0
mux,0
mvbf,0
mvf,0
mvis,0
mvo,0
mvt,0
mvv,0
mwa,0
mx,0
mxc,0
mxf,0
mxi,0
mxl,0
myd,0
mye,0
myfw,0
mygn,0
myi,0
myn,0
myo,0
myrg,0
mysz,0
