Stock_name,Mark
uan,0
uapr,0
uaug,0
uavs,0
ubcp,0
uber,0
uboh,0
ubs,0
ubsi,0
ubt,0
ubx,0
ucbi,0
ucbio,0
ucc,0
ucib,0
uco,0
uctt,0
udec,0
udn,0
udow,0
ue,0
uec,0
ueic,0
uevm,0
ufcs,0
ufeb,0
ufpi,0
ufpt,0
ug,0
uga,0
uge,0
ugi,0
ugl,0
ugp,0
uhal,0
uhs,0
ui,0
uis,0
uivm,0
ujan,0
ujb,0
ujul,0
ujun,0
ul,0
ule,0
ulh,0
ulst,0
ulta,0
ultr,0
umay,0
umbf,0
umc,0
umdd,0
umh,0
unb,0
unf,0
unfi,0
ung,0
unit,0
unm,0
unma,0
unov,0
unp,0
unty,0
uoct,0
uonek,0
upro,0
ups,0
upv,0
upw,0
upwk,0
ura,0
urbn,0
urg,0
uri,0
urth,0
urty,0
usa,0
usac,0
usap,0
usas,0
usb,0
usci,0
usd,0
usdp,0
usdu,0
useg,0
usfd,0
usfr,0
ushy,0
usig,0
usl,0
uslm,0
usm,0
usmc,0
usmf,0
usmv,0
usna,0
uso,0
usph,0
usrt,0
ust,0
usvm,0
utes,0
utf,0
utg,0
uthr,0
uti,0
utl,0
utrn,0
utsi,0
utsl,0
uup,0
uuu,0
uuuu,0
uve,0
uvsp,0
uvv,0
uvxy,0
uwm,0
uxin,0
uyg,0
uym,0
