Stock_name,Mark
k,0
kai,0
kala,0
kall,0
kalu,0
kalv,0
kamn,0
kar,0
kars,0
kb,0
kba,0
kbe,0
kbh,0
kbr,0
kbwb,0
kbwd,0
kbwp,0
kbwr,0
kbwy,0
kc,0
kce,0
ke,0
kelya,0
kelyb,0
kem,0
kemq,0
kep,0
kequ,0
kern,0
kernw,0
kex,0
key,0
kffb,0
kfs,0
kfy,0
kgc,0
kgji,0
kgrn,0
khc,0
kids,0
kie,0
kim,0
kins,0
kjan,0
kjul,0
kkr,0
klac,0
kldo,0
kldw,0
klic,0
klxe,0
kmb,0
kmda,0
kmf,0
kmi,0
kmpr,0
kndi,0
kng,0
knsa,0
knx,0
ko,0
kod,0
kodk,0
kof,0
koin,0
koku,0
kold,0
komp,0
kop,0
kopn,0
korp,0
koru,0
kos,0
koss,0
kpti,0
krc,0
kre,0
kref,0
krg,0
krkr,0
krmd,0
krnt,0
kro,0
kros,0
krp,0
krtx,0
krus,0
krys,0
ksa,0
kss,0
kt,0
ktb,0
ktcc,0
ktf,0
kth,0
ktn,0
ktos,0
kura,0
kure,0
kw,0
kweb,0
kwr,0
kxi,0
kxin,0
kyn,0
kzia,0
kzr,0
